"s","ID","nome","starttime","endTime"
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018060-(1948-01-01)","018060","CURA CARPIGNANO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018073-(2012-06-30)","018073","GODIASCO SALICE TERME",2012-06-30,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018089-(1948-01-01)","018089","MENCONICO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018099-(1948-01-01)","018099","MONTICELLI PAVESE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018105-(1948-01-01)","018105","OLIVA GESSI",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018109-(1948-01-01)","018109","PARONA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018115-(1948-01-01)","018115","PINAROLO PO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018129-(1948-01-01)","018129","RONCARO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018137-(1948-01-01)","018137","SAN MARTINO SICCOMARIO",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018138-(1989-07-27)","018138","SANNAZZARO DE' BURGONDI",1989-07-27,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018139-(1948-01-01)","018139","SANTA CRISTINA E BISSONE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018147-(1948-01-01)","018147","SCALDASOLE",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018149-(1948-01-01)","018149","SILVANO PIETRA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018152-(1948-01-01)","018152","SPESSA",1948-01-01,9999-12-31
"https://w3id.org/italia/controlled-vocabulary/territorial-classifications/cities/018167-(1948-01-01)","018167","VALEGGIO",1948-01-01,9999-12-31
