codice_ente,ente_controllore,punto_prelievo,tipologia_punto_prelievo,indirizzo_punto_prelievo,comune_punto_prelievo,codice_comune,provincia_punto_prelievo,latitudine,longitudine,location,id_campione,macro_categoria_parametro,categoria_parametro,parametro,tipo_parametro,codice_parametro,risultato,unit_misura,esito,data_referto,anno_referto,indirizzo_di_georeferenziazione,frazione_punto_prelievo,valore_testuale,unita_di_misura_testuale,segno
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","RE0152099UM118","Punti rete","Via Podgora","SESTO SAN GIOVANNI","015209","MILANO","45.54195","9.23345","POINT (9.23345 45.54195)","202007854-001","Chimico","Metalli","cromo","Normato",,"4.0","µg/l","Conforme","2020-06-30","2020","VIA PODGORA",,"4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151420UM015","Punti rete","COLOMBO I/II MISCELA, Melzo","MELZO","015142","MILANO","45.49764","9.42162","POINT (9.42162 45.49764)","4831-2020-PREL_ACQ-28922-625647","Chimico","Solventi alogenati","somma tetracloroetilene+tricloroetilene","Normato","CHM-TTC-0","4.4","µg/l","Conforme","2020-07-30","2020","COLOMBO I/II MISCELA,MELZO",,"4.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151169U0106","Punti rete","Via Bellini","LAINATE","015116","MILANO","45.55611","9.03119","POINT (9.03119 45.55611)","1435-2020-PREL_ACQ-10475-245611","Chimico","Solventi alogenati","somma tetracloroetilene+tricloroetilene","Normato","CHM-TTC-0","4.7","µg/l","Conforme","2020-04-27","2020","VIA VINCENZO BELLINI",,"4.7","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150599U0004","Punti rete","CRISTO RISORTO TRATT.","CASSANO D'ADDA","015059","MILANO","45.5239587","9.5102058","POINT (9.5102058 45.5239587)","50-2020-PREL_ACQ-1064-625772","Chimico","Solventi alogenati","trialometani totali","Normato",,"0.4","µg/l","Conforme","2020-02-05","2020","Via Cristo Risorto",,"< 0.4","microgrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015249NU0004","Punti rete","C.na Fogna","VANZAGHELLO","015249","MILANO","45.57946","8.78228","POINT (8.78228 45.57946)","3058-2020-PREL_ACQ-29576-245611","Chimico","Anioni","solfato","Indicatore","14808-79-8","24.0","mg/l","Conforme","2020-07-31","2020","C.NA FOGNA",,"24","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151309U0007","Punti rete","Via Crivelli","MAGENTA","015130","MILANO","45.46073","8.88469","POINT (8.88469 45.46073)","1826-2020-PREL_ACQ-3613-245611","Chimico","Solventi alogenati","trialometani totali","Normato",,"0.4","µg/l","Conforme","2020-03-05","2020","VIA CARLO CRIVELLI",,"< 0.4","microgrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0980459UM005","Punti rete","Cascina S. Antonio Miscele, Pieve Fissiraga","PIEVE FISSIRAGA","098045","LODI","45.2615781","9.5352366","POINT (9.5352366 45.2615781)","4464-2020-PREL_ACQ-11337-625673","Chimico","Anioni","cloruro","Indicatore","16887-00-6","14.0","mg/l","Conforme","2020-05-05","2020","Via Cascina S.Antonio",,"14","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151189U0004","Punti rete","Via Canova","LEGNANO","015118","MILANO","45.60187","8.92041","POINT (8.92041 45.60187)","2535-2020-PREL_ACQ-31896-245611","Chimico","Anioni","nitrati","Normato",,"41.0","mg/l","Conforme","2020-08-27","2020","VIA ANTONIO CANOVA",,"41","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150419U0011","Punti rete","Via Cavour","BUSTO GAROLFO","015041","MILANO","45.55057","8.88922","POINT (8.88922 45.55057)","964-2020-PREL_ACQ-3739-245611","Chimico","Metalli","calcio","Indicatore","7440-70-2","74.0","mg/l","Conforme","2020-03-06","2020","VIA CAVOUR",,"74","milligrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151400U0085","Punti rete","via Lombardia, Melegnano","MELEGNANO","015140","MILANO","45.3638397","9.3205578","POINT (9.3205578 45.3638397)","4481-2020-PREL_ACQ-10536-625645","Chimico","Solventi alogenati","trialometani totali","Normato",,"0.4","µg/l","Conforme","2020-04-30","2020","VIALE LOMBARDIA,MELEGNANO",,"< 0.4","microgrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0151920U0022","Punti rete","viale De Gasperi, San Donato Milanese","SAN DONATO MILANESE","015192","MILANO","45.42424","9.26648","POINT (9.26648 45.42424)","4470-2020-PREL_ACQ-11439-625688","Chimico","Solventi alogenati","trialometani totali","Normato",,"0.4","µg/l","Conforme","2020-05-12","2020","VIALE ALCIDE DE GASPERI,SAN DONATO MILANESE",,"< 0.4","microgrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015093NU0098","Punti rete","Via XXIV Maggio","CORSICO","015093","MILANO","45.42898","9.10408","POINT (9.10408 45.42898)","5932-2020-PREL_ACQ-49455-424513","Chimico","Fitosanitari","atrazina","Normato","1912-24-9","0.047","µg/l","Conforme","2020-11-26","2020","VIA XXIV MAGGIO",,"0.047","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO015062NU0076","Punti rete","Via Lonate","CASTANO PRIMO","015062","MILANO","45.53977","8.73715999","POINT (8.73715999 45.53977)","2972-2020-PREL_ACQ-11305-245611","Chimico","Solventi alogenati","difluoroclorometano (r-22)","Indicatore","75-45-6","0.4","µg/l","Conforme","2020-05-11","2020","VIA LONATE",,"0.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0150609U0001","Punti rete","VILLA MAGRI TRATT.","CASSINA DE' PECCHI","015060","MILANO","45.5230904","9.3831587","POINT (9.3831587 45.5230904)","4755-2020-PREL_ACQ-24647-625773","Chimico","Solventi alogenati","triclorofluorometano (r-11)","Indicatore",,"0.4","µg/l","Conforme","2020-06-05","2020","Localita' Villa Magri",,"0.4","microgrammi per litro",
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","RE0980319UC034","Punti rete","Viale Dante, Lodi","LODI","098031","LODI","45.31063","9.49874","POINT (9.49874 45.31063)","202013322-001","Chimico","Anioni","nitrati","Normato",,"4.0","mg/l","Conforme","2020-09-29","2020","VIALE DANTE ALIGHIERI,LODI",,"< 4","milligrammi per litro","<"
"030321","ATS DELLA CITTA' METROPOLITANA DI MILANO","PO0152049U0004","Punti rete","Via Giovanni XXXIII","SEDRIANO","015204","MILANO","45.4886272","8.9634928","POINT (8.9634928 45.4886272)","1909-2020-PREL_ACQ-31575-245611","Chimico","Anioni","nitrati","Normato",,"42.0","mg/l","Conforme","2020-08-19","2020","Via Papa Giovanni XXIII",,"42","milligrammi per litro",
