IdSensore,Data,Valore,Stato,idOperatore,Parametro,unita_di_misura,codice_ats,nome_ats,Tipologia,IdStazione,NomeStazione,Quota,lat,lng,Provincia
11663,2019-12-01 00:00:00,3.2,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,835,Valdisotto Oga S. Colombano,2300,46.45356305894081,10.305951823970045,SO
11664,2019-12-01 00:00:00,0.5,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
11664,2019-12-01 00:00:00,1.0,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
11667,2019-12-01 00:00:00,0.3,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
11667,2019-12-01 00:00:00,1.3,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
11671,2019-12-01 00:00:00,0.5,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
11671,2019-12-01 00:00:00,0.8,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
11829,2019-12-01 00:00:00,290.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,107,Sondrio Fond.Fojanini,307,46.167553376526,9.850940145467526,SO
11829,2019-12-01 00:00:00,277.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,107,Sondrio Fond.Fojanini,307,46.167553376526,9.850940145467526,SO
11835,2019-12-01 00:00:00,290.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1075,Edolo Centrale ENEL,659,46.16907080571305,10.340473514382968,BS
11835,2019-12-01 00:00:00,295.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1075,Edolo Centrale ENEL,659,46.16907080571305,10.340473514382968,BS
11839,2019-12-01 00:00:00,326.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,129,Capo di Ponte v.Briscioli,362,46.026563542472815,10.34250260860311,BS
11839,2019-12-01 00:00:00,323.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,129,Capo di Ponte v.Briscioli,362,46.026563542472815,10.34250260860311,BS
11846,2019-12-01 00:00:00,316.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,142,Caiolo,274,46.15492316813672,9.792518875272254,SO
11846,2019-12-01 00:00:00,249.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,142,Caiolo,274,46.15492316813672,9.792518875272254,SO
11848,2019-12-01 00:00:00,184.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,144,Madesimo Spluga,1915,46.4716582729432,9.348122957946568,SO
11848,2019-12-01 00:00:00,186.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,144,Madesimo Spluga,1915,46.4716582729432,9.348122957946568,SO
11849,2019-12-01 00:00:00,71.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,145,Darfo Boario Terme,222,45.87460210989037,10.17735680898138,BS
11849,2019-12-01 00:00:00,73.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,145,Darfo Boario Terme,222,45.87460210989037,10.17735680898138,BS
11854,2019-12-01 00:00:00,252.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,832,Lanzada Palù,2151,46.29290281845888,9.884519789844443,SO
11854,2019-12-01 00:00:00,243.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,832,Lanzada Palù,2151,46.29290281845888,9.884519789844443,SO
11855,2019-12-01 00:00:00,150.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,833,Gerola Alta Pescegallo,1875,46.0261906266171,9.571116796075923,SO
11855,2019-12-01 00:00:00,127.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,833,Gerola Alta Pescegallo,1875,46.0261906266171,9.571116796075923,SO
11856,2019-12-01 00:00:00,194.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,835,Valdisotto Oga S. Colombano,2300,46.45356305894081,10.305951823970045,SO
11856,2019-12-01 00:00:00,193.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,835,Valdisotto Oga S. Colombano,2300,46.45356305894081,10.305951823970045,SO
11857,2019-12-01 00:00:00,243.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
11857,2019-12-01 00:00:00,250.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
11860,2019-12-01 00:00:00,46.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
11860,2019-12-01 00:00:00,100.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,848,Livigno La Vallaccia,2660,46.47730494291044,10.188728513795668,SO
11864,2019-12-01 00:00:00,37.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1202,Vercana,980,46.18184257309385,9.324676976148888,CO
11864,2019-12-01 00:00:00,148.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1202,Vercana,980,46.18184257309385,9.324676976148888,CO
11865,2019-12-01 00:00:00,268.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
11865,2019-12-01 00:00:00,274.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1273,Val Masino Bagni,1191,46.24345094940859,9.596430583118106,SO
11988,2019-12-01 00:00:00,47.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Livello Idrometrico,1076,Chiavenna Inferno,403,46.3254397805223,9.37652772232262,SO
14038,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
14039,2019-12-01 00:00:00,61.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,836,Aprica,1950,46.1296816331299,10.148256664341748,SO
14125,2019-12-01 00:00:00,-1.1,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1328,Teglio S. Giacomo,357,46.1582723086524,10.038477988191712,SO
14129,2019-12-01 00:00:00,44.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Livello Idrometrico,1328,Teglio S. Giacomo,357,46.1582723086524,10.038477988191712,SO
14161,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,1202,Vercana,980,46.18184257309385,9.324676976148888,CO
14178,2019-12-01 00:00:00,232.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14180,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14182,2019-12-01 00:00:00,25.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14182,2019-12-01 00:00:00,58.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14186,2019-12-01 00:00:00,1.2,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14186,2019-12-01 00:00:00,3.0,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14191,2019-12-01 00:00:00,51.0,VA,1,%,percentuale,030407,ATS DELLA MONTAGNA,Umidità Relativa,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14194,2019-12-01 00:00:00,-6.0,VA,1,°C,gradi_celsius,030407,ATS DELLA MONTAGNA,Temperatura,1342,Ponte in Valtellina Lago Reguzzo,2440,46.09651166584453,9.969993307685913,SO
14205,2019-12-01 00:00:00,225.0,VA,1,cm,centimetri,030407,ATS DELLA MONTAGNA,Altezza Neve,1343,Lanzada Passo Marinelli,3032,46.34980205020121,9.915147774061634,SO
14207,2019-12-01 00:00:00,0.0,VA,1,W/m²,watt_al_metroquadro,030407,ATS DELLA MONTAGNA,Radiazione Globale,1343,Lanzada Passo Marinelli,3032,46.34980205020121,9.915147774061634,SO
14209,2019-12-01 00:00:00,232.0,VA,1,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1343,Lanzada Passo Marinelli,3032,46.34980205020121,9.915147774061634,SO
14209,2019-12-01 00:00:00,200.0,VA,3,°,gradi,030407,ATS DELLA MONTAGNA,Direzione Vento,1343,Lanzada Passo Marinelli,3032,46.34980205020121,9.915147774061634,SO
14213,2019-12-01 00:00:00,1.3,VA,1,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1343,Lanzada Passo Marinelli,3032,46.34980205020121,9.915147774061634,SO
14213,2019-12-01 00:00:00,2.3,VA,3,m/s,metri_al_secondo,030407,ATS DELLA MONTAGNA,Velocità Vento,1343,Lanzada Passo Marinelli,3032,46.34980205020121,9.915147774061634,SO
