"bacino_idrografico","corso_d_acqua","corpo_idrico","provincia","comune","codice_comune","coord_x","coord_y","codice_stazione","data_campionamento","parametro","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-09-13","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-09-13","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-09-13","Mevinfos","<0,005","7786-34-7",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-09-13","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Ammoniaca (non ionizzata)","<0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro","<","0.002","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Fenitrotion","<0,005","122-14-5",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Fenthion","<0,005","55-38-9",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Imidacloprid","<0,009","138261-41-3",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Mevinfos","<0,005","7786-34-7",,,"µg/l",,"microgrammi per litro","<","0.005","2,018"
"ADDA SUBLACUALE","Vailata (Roggia)","IT03POAD3VACA1LO","BG","ARZAGO D'ADDA","016013","545,933","5,037,070","POAD3VACA1lo1","2018-11-08","Thiacloprid","<0,009","111988-49-9",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"BREMBO","Lesina (Torrente)","IT03N00800100623A1LO","BG","BARZANA","016021","544,483","5,065,010","N00800100623A1lo1","2018-03-01","Ammoniaca (non ionizzata)","0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro",,"0.002","2,018"
"BREMBO","Lesina (Torrente)","IT03N00800100623A1LO","BG","BARZANA","016021","544,483","5,065,010","N00800100623A1lo1","2018-06-04","Ammoniaca (non ionizzata)","0,007","7664-41-7",,,"mg/l","NH3","milligrammi per litro",,"0.007","2,018"
"BREMBO","Lesina (Torrente)","IT03N00800100623A1LO","BG","BARZANA","016021","544,483","5,065,010","N00800100623A1lo1","2018-06-04","Portata","0,006",,,"CAM-PRT-0","m³/s",,"metro cubo al secondo",,"0.006","2,018"
"BREMBO","Lesina (Torrente)","IT03N00800100623A1LO","BG","BARZANA","016021","544,483","5,065,010","N00800100623A1lo1","2018-09-25","Portata","0,002",,,"CAM-PRT-0","m³/s",,"metro cubo al secondo",,"0.002","2,018"
"BREMBO","Lesina (Torrente)","IT03N00800100623A1LO","BG","BARZANA","016021","544,483","5,065,010","N00800100623A1lo1","2018-11-06","Ammoniaca (non ionizzata)","0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro",,"0.002","2,018"
"SERIO","Morla (Torrente)","IT03N0080010232501012LO","BG","BERGAMO","016024","553,013","5,058,700","N0080010232501012lo1","2018-03-15","Acetamiprid","<0,009","135410-20-7",,,"µg/l",,"microgrammi per litro","<","0.009","2,018"
"SERIO","Morla (Torrente)","IT03N0080010232501012LO","BG","BERGAMO","016024","553,013","5,058,700","N0080010232501012lo1","2018-03-15","Ammoniaca (non ionizzata)","0,002","7664-41-7",,,"mg/l","NH3","milligrammi per litro",,"0.002","2,018"
