"provincia","comune","codice_comune","codice_pp","data_di_campionamento","parametro","coord_est","coord_nord","standard_di_qualit_valore","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Nichel","545,694","5,035,362",,"<2","7440-02-0",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Boro","545,694","5,035,362",,"42","7440-42-8",,,"µg/l",,"microgrammi per litro",,"42","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Fluoruri","545,694","5,035,362",,"<250","16984-48-8",,,"µg/l",,"microgrammi per litro","<","250","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Ione Ammonio (NH4+)","545,694","5,035,362",,"<20","14798-03-9",,,"µg/l",,"microgrammi per litro","<","20","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Cloruro di Vinile","545,694","5,035,362",,"<0,25","75-01-4",,,"µg/l",,"microgrammi per litro","<","0,25","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Nitrobenzene","545,694","5,035,362",,"<2,5","98-95-3",,,"µg/l",,"microgrammi per litro","<","2,5","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Esaclorobenzene","545,694","5,035,362",,"<0,02","118-74-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Triclorobenzeni","545,694","5,035,362",,"<2","12002-48-1",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Azoto organico","545,694","5,035,362",,"<2",,,"CHM-AZO-0","mg/l",,"milligrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Durezza (totale)","545,694","5,035,362",,"244",,,"CASID20001","mg/l","CaCO3","milligrammi per litro",,"244","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Alachlor","545,694","5,035,362",,"<0,02","15972-60-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Atrazina","545,694","5,035,362",,"0,02","1912-24-9",,,"µg/l",,"microgrammi per litro",,"0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Metolachlor","545,694","5,035,362",,"<0,02","51218-45-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Molinate","545,694","5,035,362",,"<0,02","2212-67-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Simazina","545,694","5,035,362",,"<0,02","122-34-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Terbutilazina","545,694","5,035,362",,"<0,02","5915-41-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Terbutilazina desetil","545,694","5,035,362",,"0,02","30125-63-4",,,"µg/l",,"microgrammi per litro",,"0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Benzene","545,694","5,035,362",,"<0,2","71-43-2",,,"µg/l",,"microgrammi per litro","<","0,2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Conducibilità elettrica a 20°C","545,694","5,035,362",,"522",,"WISE 3142-01-6",,"µs/cm",,"conduttività ionica",,"522","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","pH","545,694","5,035,362",,"7,2","12408-02-5",,,"ph",,"potenziale di idrogeno",,"7,2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Temperatura (alla fonte)","545,694","5,035,362",,"17,2",,,"CASID10160","°c",,"gradi celsius",,"17,2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Chlorfenvinphos","545,694","5,035,362",,"<0,02","470-90-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Cianazina","545,694","5,035,362",,"<0,02","21725-46-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Clorpirifos","545,694","5,035,362",,"<0,02","2921-88-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Clorpirifos Metile","545,694","5,035,362",,"<0,02","5598-13-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Esazinone","545,694","5,035,362",,"<0,02","51235-04-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Flufenacet","545,694","5,035,362",,"<0,02","142459-58-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Metalaxyl","545,694","5,035,362",,"<0,02","57837-19-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Oxadiazon","545,694","5,035,362",,"<0,02","19666-30-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Oxadixyl","545,694","5,035,362",,"<0,02","77732-09-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Paration etile","545,694","5,035,362",,"<0,02","56-38-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
